Timestamp,U3_HNC10AA101XQ01,U3_HNC10AN001XQ01,U3_HNC10CF101,U3_HNC10CG101XQ01,U3_DPU56A105
466,48.69324,303.21365,9.01061,47.78244,4731.1416
467,48.65844,303.68585,4.54062,47.80272,4741.76172
468,48.74255,304.40424,4.52131,47.82299,4718.31104
469,48.67584,304.80124,4.55087,47.84326,4694.85986
470,48.62656,303.87662,4.55473,47.86354,4700.0791
471,48.60029,305.50482,4.49489,47.88381,4769.56152
472,48.61679,303.32559,4.55506,47.89939,4805.70166
473,48.67465,302.6684,4.5474,47.91045,4767.09375
474,48.73801,304.41928,4.60287,47.92149,4731.06299
475,48.73503,304.79846,4.49949,47.93254,4695.2998
476,48.57045,305.03055,4.56405,47.94359,4691.91504
477,48.62156,305.49542,4.51686,47.95464,4688.53027
478,48.60048,303.27338,4.55135,47.96569,4685.14551
479,48.52745,302.9072,4.55375,47.97674,4685.97607
480,48.55376,304.18906,4.55117,47.98779,4702.8501
481,48.64486,303.28665,4.571,47.99884,4719.72412
482,48.71392,305.98578,4.56618,48.00989,4734.7168
483,48.69605,304.02689,4.57929,48.02094,4746.979
484,48.75193,303.6044,4.54254,48.03199,4759.24121
485,48.7098,304.48584,4.56102,48.04304,4771.50342
486,48.78035,304.29803,4.60654,48.05408,4739.22217
487,48.81129,303.62442,4.56545,48.06514,4663.76611
