,U3_HNV10CT104,U3_HNV10CT111,U3_HNV10CT102,U3_HNV10CT103
2017-01-03|15:22:58.000,34.10735,27.2034,29.52693,38.90704
2017-01-03|15:23:08.000,34.09067,27.16022,29.52826,38.93217
2017-01-03|15:23:18.000,34.06916,27.13812,29.52959,38.95398
2017-01-03|15:23:28.000,34.04561,27.19046,29.50622,38.98278
2017-01-03|15:23:38.000,34.03604,27.1176,29.51185,38.9719
2017-01-03|15:23:48.000,34.02647,27.19593,29.52975,38.91599
2017-01-03|15:23:58.000,34.01205,27.15299,29.5202,38.83148
2017-01-03|15:24:08.000,34.05006,27.21451,29.51064,38.78117
2017-01-03|15:24:18.000,34.03816,27.1146,29.53251,38.73412
2017-01-03|15:24:28.000,34.02491,27.18999,29.53949,38.69502
2017-01-03|15:24:38.000,34.01165,27.21744,29.54647,38.70245
2017-01-03|15:24:48.000,34.00031,27.15278,29.55345,38.73841
2017-01-03|15:24:58.000,34.01026,27.17289,29.53552,38.77436
2017-01-03|15:25:08.000,34.0202,27.15164,29.54585,38.81031
2017-01-03|15:25:18.000,34.01402,27.21304,29.55618,38.83834
2017-01-03|15:25:28.000,33.99051,27.17426,29.53211,38.85684
2017-01-03|15:25:38.000,33.96701,27.12414,29.54072,38.89216
2017-01-03|15:25:48.000,33.97557,27.19458,29.54932,38.97689
2017-01-03|15:25:58.000,33.99907,27.16289,29.55275,39.03404
2017-01-03|15:26:08.000,33.98845,27.14067,29.53289,38.99332
2017-01-03|15:26:18.000,33.97721,27.18846,29.54681,38.89327
2017-01-03|15:26:28.000,33.95601,27.12823,29.54081,38.81858
2017-01-03|15:26:38.000,33.86495,27.21278,29.54032,38.77093
2017-01-03|15:26:48.000,33.84832,27.19031,29.55467,38.76468
2017-01-03|15:26:58.000,33.85406,27.1705,29.54436,38.77277
2017-01-03|15:27:08.000,33.85981,27.1748,29.55181,38.78086
2017-01-03|15:27:18.000,33.86555,27.1151,29.54399,38.79211
2017-01-03|15:27:28.000,33.873,27.11842,29.53616,38.82859
2017-01-03|15:27:38.000,33.88821,27.12173,29.53715,38.80154
2017-01-03|15:27:48.000,33.88878,27.12504,29.54855,38.71966
